,HBA,HBD,HBA+HBD,NumRings,RTB,NumAmideBonds,Globularity,PBF,TPSA,logP,MR,MW,Csp3,fmf,QED,HAC,NumRingsFused,unique_HBAD,max_ring_size,n_chiral_centers,fcsp3_bm,formal_charge,abs_charge
816,3,0,3,1,2,1,0.5326978062422985,1.0652739396844726,78.3,2.9438000000000013,64.54400000000004,240.3070000000002,0.9090909090909091,0.35294117647058826,0.4223012506174717,17,1,3,6,1,1.0,0,0
817,1,0,1,1,3,0,0.6363850175163389,0.9387567589070129,48.760000000000005,2.0952,31.33199999999999,111.14799999999994,1.0,0.375,0.29743012899946236,8,1,1,3,1,1.0,0,0
818,2,1,3,1,2,0,0.631004337961423,1.0580724052173278,68.99000000000001,1.6002,37.40880000000001,141.1740000000001,1.0,0.6,0.33606172381237326,10,1,2,6,2,1.0,0,0
819,3,1,4,1,2,0,0.6953545748578179,0.453225356348631,86.06,3.3454000000000006,47.2093,231.133,0.125,0.375,0.48025639038901824,16,1,3,6,0,0.0,0,0
820,3,0,3,0,7,0,0.5741390658052846,1.0229407434111673,75.06,1.8844,44.40500000000002,171.20000000000013,0.8571428571428571,0.0,0.2800722709109615,12,0,3,0,1,0.0,0,0
821,2,1,3,2,1,1,0.660135763714866,0.7024310860959698,77.86,2.5131000000000006,52.19870000000002,188.19000000000005,0.2222222222222222,0.7857142857142857,0.4098809586642222,14,1,3,6,0,0.2222222222222222,0,0
822,5,1,6,2,5,0,0.592451473574176,1.0977386971476308,120.96000000000001,2.72562,67.29650000000001,279.28099999999984,0.1,0.7894736842105263,0.5248598646814759,19,2,6,6,0,0.0,0,0
823,3,0,3,1,3,0,0.6944472028642318,0.8568590907881882,61.650000000000006,2.514400000000001,39.67500000000002,154.19800000000004,0.4,0.5,0.36645615268036313,10,1,3,5,1,0.0,0,0
824,1,0,1,1,2,0,0.6736124210603478,0.7489273494058697,48.760000000000005,3.6548000000000007,44.25200000000001,219.14100000000002,0.25,0.4,0.31522654091456853,15,1,1,6,0,0.0,0,0
825,3,0,3,1,2,0,0.7500930521744182,0.7257908428825398,74.79,1.4849,29.352999999999994,124.10299999999997,0.25,0.5555555555555556,0.3398910729488131,9,1,3,5,0,0.0,0,0
826,1,1,2,2,2,0,0.6524033774932486,0.7275455012233231,64.55000000000001,2.978200000000001,51.14870000000002,172.19100000000006,0.1111111111111111,0.6923076923076923,0.41088921361005076,13,1,2,6,0,0.0,0,0
827,2,0,2,1,3,0,0.6673511110852094,0.7824714943824764,57.989999999999995,3.395500000000001,45.975000000000016,217.15000000000003,0.25,0.4,0.43448150949263725,15,1,2,6,0,0.0,0,0
828,2,0,2,1,4,0,0.5939515533317938,0.6793670670161163,57.99000000000001,2.2559000000000005,42.22100000000002,155.2010000000001,1.0,0.45454545454545453,0.26565009142587614,11,1,2,5,0,1.0,0,0
